product_name,categories_tags,ingredients_text,fat_100g,sugars_100g,proteins_100g
Bio Gerstengras Pulver,"en:food-additives,en:food-colorings","Sorbitol, Glycerin , Water, Carboxymethylcellulose sodium, Potassium sorbate",0.4,8.1,8.8
Dattes Mejdoul,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:dried-products,en:fruits,en:dried-plant-based-foods,en:dried-fruits,en:dates,en:medjool-dates",Medjoul Dates,9.43,0.62,11.37
Instant Clear Jel Powder,,,0.0,0.0,0.0
WHEY Gold Standard,,,4.5,4.1,74.0
Melody,en:dietary-supplements,"INGRÉDIENTS (3 gélules) : hydrolysats de collagène marin désodorisés (poisson) 900 mg, tunique d'origine végétale : hydroxypropylméthylcellulose, extrait de fruits d'acérola (Malpighia glabra) (240 mg) standardisée en vitamine C (60 mg, 75% des VNR*) (maltodextrine), D-alpha-tocophérol (Soja) (équivalent en vitamine E : 12 mg, 100% des VNR*), extrait de riz, B-carotène de Blakeslea trispora (0,72 mg de béta-carotène équivalent en vitamine A: 120 µg, 15% des VNR*). *Valeurs Nutrutionnels de Références. Origine végétale.",4.33,3.33,80.0
Yaourt au chocolat,"en:dairies,en:desserts,en:dairy-desserts,en:chocolate-desserts,en:dairy-chocolate-desserts",,4.3,12.7,2.7
"Popcorn, Baby White",de:parfüm,,2.56,3.85,12.8
Sablé aux pépites de chocolat,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits-and-crackers,en:biscuits,en:shortbread-cookies",,21.7,32.1,6.8
Vegan Protein Mango,"en:dietary-supplements,en:bodybuilding-supplements,en:protein-powders","74,2 % d'isolat de protéines de pois. 15% de concentré de protéines de riz. mélange d'arômes (dextrose, acide (acide citrique), arôme naturel, arôme, colorant (beta-carotène), édulcorant (saccharine de sodium)), arôme naturel, épaississant (gomme de guar), arôme. colorant (bêta - carotène), édulcorant (sucralose). Ce produit contien 20 portions.",7.3,7.4,69.0
Veganes Protein Vanille,"en:beverages-and-beverages-preparations,en:beverages",,6.0,0.3,74.1
Bio Walnusskerne Achtel kerne,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:nuts-and-their-products,en:nuts,en:shelled-nuts,en:walnuts,en:walnut-kernels",100% Organic Walnut kernels (Juglans regia),65.8,8.31,14.2
Buttermilk pancake & waffle mix,"en:beverages-and-beverages-preparations,en:beverages",,5.46875,14.0625,7.8125
VEGAN BRAIN + BODY BOOST,"en:beverages-and-beverages-preparations,en:beverages","Creatine Monohydrate 5000mg, Taurine 1500mg, Beta alanine 1000mg",7.5,15.0,39.0
Powdered peanut butter - PB2,"en:beverages-and-beverages-preparations,en:beverages",,11.5384615384615,15.3846153846154,46.1538461538462
Whey Protein,,,2.59999990463257,1.0,23.0
PROTEIN PANCAKE,,,7.0,2.8,6.9
zinc amazom,,,0.5,1.0,2.0
Riso rosso,,,1.9,3.2,8.8
Ultimate Daily Greens,,,11.1111111111111,22.2222222222222,22.2222222222222
Arran,,,10.0,20.0,48.0
